order_id,customer_id,product_id,order_date,status,quantity,unit_price
1081,15,5,2026-03-19,shipped,2,1299.0
1082,47,5,2026-01-05,shipped,4,1299.0
1083,34,3,2026-04-23,shipped,5,299.9
1084,49,2,2026-01-10,completed,4,89.9
1085,35,2,2026-01-02,pending,4,89.9
1086,8888,6,2026-03-28,cancelled,1,159.9
1087,3,5,2026-01-15,completed,4,1299.0
1088,43,3,2026-02-28,shipped,4,299.9
1089,3,8,2026-02-22,pending,5,399.9
1090,4,6,2026-04-26,shipped,5,159.9
1091,16,10,2026-01-07,shipped,1,49.9
1092,8888,4,2026-04-10,completed,3,799.0
1093,8888,3,2026-03-26,completed,1,299.9
1094,34,5,2026-01-17,COMPLETED,1,1299.0
1095,47,8,2026-01-29,completed,5,399.9
1096,32,8,2026-02-24,completed,4,399.9
1097,25,2,2026-02-05,shipped,2,89.9
1098,15,9,2026-02-25,Canceled,2,1499.0
1099,44,6,2026-02-17,completed,3,159.9
1100,38,6,2026-03-13,completed,2,159.9
1101,23,1,2026-03-18,pending,3,3200.0
1102,49,6,2026-02-17,completed,5,159.9
1103,22,1,2026-02-04,pending,2,3200.0
1104,25,1,2026-04-06,cancelled,1,3200.0
1105,44,1,2026-01-21,completed,2,3200.0
1106,28,4,2026-01-15,shipped,5,799.0
1107,14,7,2026-01-08,completed,5,79.9
1108,12,2,2026-03-05,COMPLETED,1,89.9
1109,5,1,2026-01-03,Canceled,4,3200.0
1110,40,7,2026-02-11,completed,1,79.9
1111,26,7,2026-02-21,completed,5,79.9
1112,50,2,2026-03-07,cancelled,5,89.9
1113,39,3,2026-01-26,completed,3,299.9
1114,10,10,2026-02-11,shipped,5,49.9
1115,30,6,2026-01-10,pending,5,159.9
1116,29,7,2026-03-16,completed,4,79.9
1117,46,1,2026-01-14,shipped,4,3200.0
1118,24,9,2026-01-21,shipped,5,1499.0
1119,19,6,2026-03-13,COMPLETED,1,159.9
1120,20,10,2026-04-28,shipped,2,49.9
1121,43,7,2026-04-15,completed,3,79.9
1122,12,6,2026-02-16,pending,1,159.9
1123,33,3,2026-02-07,completed,1,299.9
1124,12,10,2026-01-20,completed,4,49.9
1125,29,7,2026-03-28,cancelled,3,79.9
1126,24,5,2026-04-26,cancelled,4,1299.0
1127,39,9,2026-01-21,cancelled,4,1499.0
1128,49,9,2026-02-06,completed,1,1499.0
1129,27,8,2026-04-30,completed,3,399.9
1130,46,1,2026-04-30,completed,3,3200.0
1131,8888,8,2026-03-20,completed,4,399.9
1132,16,4,2026-01-16,completed,3,799.0
1133,46,1,2026-03-15,cancelled,5,3200.0
1134,5,3,2026-03-09,shipped,1,299.9
1135,8888,1,2026-02-17,pending,4,3200.0
1136,42,3,2026-02-15,shipped,1,299.9
1137,13,2,2026-01-05,pending,4,89.9
1138,49,9,2026-02-02,completed,4,1499.0
1139,48,2,2026-02-25,COMPLETED,3,89.9
1140,47,6,2026-02-04,completed,5,159.9
1141,43,6,2026-01-11,shipped,1,159.9
1142,40,8,2026-04-04,shipped,1,399.9
1143,2,6,2026-04-13,completed,5,159.9
1144,37,4,2026-02-16,COMPLETED,3,799.0
1145,26,2,2026-01-18,shipped,5,89.9
1146,17,9,2026-04-27,completed,4,1499.0
1147,29,2,2026-04-20,completed,2,89.9
1148,11,9,2026-02-07,pending,5,1499.0
1149,16,2,2026-04-12,completed,2,89.9
1150,5,3,2026-04-24,completed,5,299.9
1011,40,2,2026-02-01,completed,5,89.9
9999,1,1,not-a-date,completed,1,3200.0
