order_id,customer_id,product_id,order_date,status,quantity,unit_price
1001,35,9,2026-02-24,cancelled,5,1499.0
1002,15,9,2026-01-16,cancelled,4,1499.0
1003,22,1,2026-01-09,completed,2,3200.0
1004,31,10,2026-03-02,cancelled,5,49.9
1005,44,7,2026-04-21,completed,4,79.9
1006,9,4,2026-03-10,Canceled,2,799.0
1007,6,2,2026-03-25,completed,1,89.9
1008,1,7,2026-01-22,COMPLETED,1,79.9
1009,19,9,2026-01-20,cancelled,4,1499.0
1010,4,1,2026-03-03,completed,5,3200.0
1011,40,2,2026-02-01,completed,5,89.9
1012,9,6,2026-02-03,COMPLETED,2,159.9
1013,35,10,2026-01-13,completed,5,49.9
1014,40,5,2026-02-26,pending,2,1299.0
1015,48,5,2026-04-24,completed,1,1299.0
1016,6,9,2026-02-02,completed,4,1499.0
1017,8888,3,2026-03-12,COMPLETED,4,299.9
1018,28,6,2026-03-12,completed,5,159.9
1019,40,4,2026-02-15,COMPLETED,1,799.0
1020,27,1,2026-04-05,shipped,2,3200.0
1021,15,7,2026-04-20,Canceled,1,79.9
1022,5,4,2026-02-12,pending,4,799.0
1023,12,1,2026-04-23,pending,1,3200.0
1024,25,7,2026-03-07,completed,5,79.9
1025,5,9,2026-02-16,COMPLETED,2,1499.0
1026,45,5,2026-02-11,COMPLETED,4,1299.0
1027,20,7,2026-04-17,completed,5,79.9
1028,48,8,2026-03-07,Canceled,2,399.9
1029,8888,5,2026-04-14,cancelled,2,1299.0
1030,32,10,2026-04-02,COMPLETED,2,49.9
1031,36,3,2026-03-01,completed,5,299.9
1032,40,10,2026-04-07,Canceled,3,49.9
1033,41,8,2026-04-07,cancelled,3,399.9
1034,22,2,2026-01-31,pending,3,89.9
1035,22,4,2026-02-23,COMPLETED,1,799.0
1036,23,10,2026-03-03,completed,4,49.9
1037,18,10,2026-03-04,cancelled,2,49.9
1038,26,3,2026-03-10,completed,5,299.9
1039,21,3,2026-02-03,COMPLETED,1,299.9
1040,48,5,2026-03-02,completed,1,1299.0
1041,40,4,2026-04-18,completed,2,799.0
1042,50,6,2026-03-19,completed,2,159.9
1043,7,7,2026-01-10,cancelled,2,79.9
1044,5,6,2026-02-24,shipped,5,159.9
1045,28,6,2026-04-01,completed,4,159.9
1046,6,10,2026-02-11,cancelled,3,49.9
1047,14,8,2026-01-24,Canceled,3,399.9
1048,47,9,2026-01-11,cancelled,2,1499.0
1049,26,1,2026-02-07,cancelled,1,3200.0
1050,23,6,2026-04-06,shipped,4,159.9
1051,13,2,2026-04-08,completed,5,89.9
1052,8888,5,2026-02-16,completed,2,1299.0
1053,37,3,2026-01-14,completed,4,299.9
1054,5,2,2026-02-21,Canceled,1,89.9
1055,39,2,2026-04-08,COMPLETED,5,89.9
1056,37,5,2026-02-24,pending,5,1299.0
1057,36,2,2026-01-31,completed,-1,89.9
1058,45,4,2026-04-01,pending,3,799.0
1059,42,7,2026-03-11,cancelled,1,79.9
1060,29,10,2026-04-28,pending,5,49.9
1061,28,8,2026-01-11,completed,4,399.9
1062,18,3,2026-03-08,Canceled,4,299.9
1063,43,6,2026-02-12,shipped,4,159.9
1064,21,9,2026-02-28,completed,1,1499.0
1065,40,7,2026-01-25,shipped,1,79.9
1066,8888,3,2026-02-26,Canceled,3,299.9
1067,15,1,2026-02-22,completed,5,3200.0
1068,27,5,2026-04-01,pending,5,1299.0
1069,5,10,2026-04-06,completed,5,49.9
1070,10,5,2026-03-16,Canceled,5,1299.0
1071,15,4,2026-03-15,COMPLETED,2,799.0
1072,33,3,2026-01-05,completed,4,299.9
1073,27,8,2026-04-03,completed,1,399.9
1074,21,2,2026-04-20,COMPLETED,3,89.9
1075,28,4,2026-01-30,completed,3,799.0
1076,4,5,2026-01-06,shipped,1,1299.0
1077,40,3,2026-01-11,COMPLETED,2,299.9
1078,30,8,2026-03-27,completed,3,399.9
1079,13,7,2026-02-28,pending,3,79.9
1080,2,10,2026-03-31,pending,3,49.9
